time,X,Y,Z
2025-08-28 18:46:09.816,6.55,-10.63,3.48
2025-08-28 18:46:09.828,6.39,-10.53,2.95
2025-08-28 18:46:09.846,6.23,-10.03,2.94
2025-08-28 18:46:09.866,6.41,-9.75,2.97
2025-08-28 18:46:09.887,6.41,-9.73,2.96
2025-08-28 18:46:09.917,6.38,-9.91,2.77
2025-08-28 18:46:09.926,6.31,-9.7,2.93
2025-08-28 18:46:09.947,6.17,-9.89,3.04
2025-08-28 18:46:09.967,5.84,-10.05,2.87
2025-08-28 18:46:09.988,5.45,-10.08,2.79
2025-08-28 18:46:10.014,5.45,-9.39,2.52
2025-08-28 18:46:10.028,5.56,-8.83,2.51
2025-08-28 18:46:10.047,6.01,-8.79,2.67
2025-08-28 18:46:10.069,5.95,-8.82,2.48
2025-08-28 18:46:10.088,5.39,-9.12,2.49
2025-08-28 18:46:10.113,5.21,-8.97,2.46
2025-08-28 18:46:10.129,5.29,-8.99,2.69
2025-08-28 18:46:10.147,5.5,-8.77,2.86
2025-08-28 18:46:10.167,5.33,-8.47,2.85
2025-08-28 18:46:10.187,5.16,-8.14,3.09
2025-08-28 18:46:10.217,5.03,-8.1,3.03
2025-08-28 18:46:10.229,4.97,-8.41,2.9
2025-08-28 18:46:10.247,4.98,-7.98,3.02
2025-08-28 18:46:10.267,4.88,-7.72,3.35
2025-08-28 18:46:10.288,4.66,-7.54,3.36
2025-08-28 18:46:10.313,4.69,-7.76,3.11
2025-08-28 18:46:10.328,4.78,-7.82,3.11
2025-08-28 18:46:10.347,4.99,-7.6,3.14
2025-08-28 18:46:10.369,4.88,-7.46,3.35
2025-08-28 18:46:10.390,4.48,-7.38,3.48
2025-08-28 18:46:10.413,4.04,-7.51,3.49
2025-08-28 18:46:10.429,3.74,-7.26,3.34
2025-08-28 18:46:10.448,3.65,-7.08,3.33
2025-08-28 18:46:10.467,3.55,-6.82,3.16
2025-08-28 18:46:10.488,3.52,-6.32,3.24
2025-08-28 18:46:10.513,3.42,-5.92,3.18
2025-08-28 18:46:10.530,3.35,-5.79,2.88
2025-08-28 18:46:10.551,3.16,-5.73,2.74
2025-08-28 18:46:10.568,2.98,-5.52,2.65
2025-08-28 18:46:10.588,2.73,-4.68,2.59
2025-08-28 18:46:10.613,2.73,-4.33,2.29
2025-08-28 18:46:10.629,2.53,-3.76,1.89
2025-08-28 18:46:10.648,2.27,-3.23,1.78
2025-08-28 18:46:10.669,2.03,-3.03,1.92
2025-08-28 18:46:10.695,2.13,-3.29,2.37
2025-08-28 18:46:10.710,2.27,-3.67,2.69
2025-08-28 18:46:10.729,2.52,-4.72,3.36
2025-08-28 18:46:10.749,3.09,-6.11,4.66
2025-08-28 18:46:10.769,3.52,-6.87,5.2
2025-08-28 18:46:10.797,4.12,-7.45,5.44
2025-08-28 18:46:10.810,4.6,-7.89,5.48
2025-08-28 18:46:10.828,5.1,-8.43,5.26
2025-08-28 18:46:10.852,5.04,-8.65,5.38
2025-08-28 18:46:10.872,4.68,-8.58,5.26
2025-08-28 18:46:10.894,4.59,-8.64,5.1
2025-08-28 18:46:10.910,4.49,-8.47,4.54
2025-08-28 18:46:10.929,3.81,-7.22,4.61
2025-08-28 18:46:10.950,3.67,-6.58,4.64
2025-08-28 18:46:10.970,3.59,-6.38,4.77
2025-08-28 18:46:10.995,3.68,-6.38,4.58
2025-08-28 18:46:11.011,3.7,-6.64,4.53
2025-08-28 18:46:11.031,3.62,-6.61,4.34
2025-08-28 18:46:11.049,3.79,-6.58,4.37
2025-08-28 18:46:11.070,3.98,-6.96,4.52
2025-08-28 18:46:11.098,4.42,-7.67,4.7
2025-08-28 18:46:11.108,4.4,-7.63,4.59
2025-08-28 18:46:11.129,4.39,-7.68,4.59
2025-08-28 18:46:11.149,4.39,-7.57,4.59
2025-08-28 18:46:11.170,4.29,-7.26,4.64
2025-08-28 18:46:11.198,4.03,-7.22,4.66
2025-08-28 18:46:11.208,3.61,-7.29,4.52
2025-08-28 18:46:11.229,3.47,-6.94,4.21
2025-08-28 18:46:11.249,3.76,-6.72,4.21
2025-08-28 18:46:11.269,3.55,-6.81,3.96
2025-08-28 18:46:11.296,3.6,-6.36,3.8
2025-08-28 18:46:11.309,3.89,-5.71,3.18
2025-08-28 18:46:11.330,3.77,-5.85,2.95
2025-08-28 18:46:11.352,3.36,-5.96,2.65
2025-08-28 18:46:11.379,3.16,-5.56,2.23
2025-08-28 18:46:11.389,2.9,-5.22,1.7
2025-08-28 18:46:11.410,2.6,-4.88,1.44
2025-08-28 18:46:11.431,2.49,-5.03,1.84
2025-08-28 18:46:11.452,2.61,-5.53,1.91
2025-08-28 18:46:11.479,2.99,-5.72,1.86
2025-08-28 18:46:11.492,3.32,-5.95,2.37
2025-08-28 18:46:11.512,3.7,-6.27,2.87
2025-08-28 18:46:11.530,3.66,-6.51,3.15
2025-08-28 18:46:11.550,3.97,-6.96,3.23
2025-08-28 18:46:11.576,4.27,-7.33,3.3
2025-08-28 18:46:11.590,4.4,-7.6,3.65
2025-08-28 18:46:11.610,4.31,-7.52,3.77
2025-08-28 18:46:11.630,3.89,-7.23,3.86
2025-08-28 18:46:11.652,3.64,-7.46,3.85
2025-08-28 18:46:11.679,3.99,-7.35,3.66
2025-08-28 18:46:11.692,4.53,-6.99,3.43
2025-08-28 18:46:11.710,4.61,-7.22,3.36
2025-08-28 18:46:11.730,4.37,-7.05,3.41
2025-08-28 18:46:11.751,4.01,-7.29,3.79
2025-08-28 18:46:11.776,3.92,-7.25,3.79
2025-08-28 18:46:11.792,3.86,-7.58,3.52
2025-08-28 18:46:11.811,4.1,-7.78,3.72
2025-08-28 18:46:11.833,4.6,-8.48,4.05
2025-08-28 18:46:11.863,4.94,-8.83,4.2
2025-08-28 18:46:11.871,4.93,-9.11,4.03
2025-08-28 18:46:11.890,4.9,-8.86,3.69
2025-08-28 18:46:11.910,4.96,-8.74,3.64
2025-08-28 18:46:11.931,5.35,-8.35,3.57
2025-08-28 18:46:11.951,5.09,-8.42,3.79
2025-08-28 18:46:11.976,4.94,-9.01,3.6
2025-08-28 18:46:11.993,5.07,-9.54,3.67
2025-08-28 18:46:12.010,5.28,-9.22,3.83
2025-08-28 18:46:12.031,5.53,-8.43,3.83
2025-08-28 18:46:12.050,5.48,-8.39,3.59
2025-08-28 18:46:12.078,5.39,-9.85,3.68
2025-08-28 18:46:12.090,5.08,-11.11,4.0
2025-08-28 18:46:12.110,6.15,-10.82,4.43
2025-08-28 18:46:12.131,6.77,-10.56,4.32
2025-08-28 18:46:12.152,7.34,-10.63,4.61
2025-08-28 18:46:12.173,7.43,-11.17,5.14
2025-08-28 18:46:12.190,6.56,-12.46,4.83
2025-08-28 18:46:12.210,5.88,-13.33,4.45
2025-08-28 18:46:12.230,6.79,-11.58,4.35
2025-08-28 18:46:12.249,7.48,-9.71,4.32
2025-08-28 18:46:12.275,7.13,-8.99,4.42
2025-08-28 18:46:12.291,5.99,-10.07,4.21
2025-08-28 18:46:12.312,6.23,-10.63,4.29
2025-08-28 18:46:12.329,6.61,-10.32,4.28
2025-08-28 18:46:12.350,6.8,-9.63,4.05
2025-08-28 18:46:12.369,6.71,-9.19,3.98
2025-08-28 18:46:12.390,6.4,-8.96,3.98
2025-08-28 18:46:12.410,6.14,-9.24,3.93
2025-08-28 18:46:12.431,6.0,-10.1,3.56
2025-08-28 18:46:12.451,5.88,-10.23,3.58
2025-08-28 18:46:12.474,6.13,-9.56,3.63
2025-08-28 18:46:12.491,5.79,-8.9,3.48
2025-08-28 18:46:12.509,5.54,-8.48,3.53
2025-08-28 18:46:12.531,5.29,-8.55,3.1
2025-08-28 18:46:12.560,5.32,-9.15,3.61
2025-08-28 18:46:12.570,5.53,-10.14,4.01
2025-08-28 18:46:12.591,5.46,-10.02,3.43
2025-08-28 18:46:12.611,5.57,-8.74,2.96
2025-08-28 18:46:12.632,5.22,-8.4,2.73
2025-08-28 18:46:12.656,5.08,-8.92,2.78
2025-08-28 18:46:12.673,5.61,-9.11,2.9
2025-08-28 18:46:12.692,5.79,-9.28,3.28
2025-08-28 18:46:12.711,5.57,-9.0,3.18
2025-08-28 18:46:12.731,5.75,-9.04,3.36
2025-08-28 18:46:12.761,6.04,-8.98,3.61
2025-08-28 18:46:12.771,6.05,-8.58,3.77
2025-08-28 18:46:12.794,5.49,-8.7,3.61
2025-08-28 18:46:12.811,5.1,-9.05,3.76
2025-08-28 18:46:12.831,5.02,-9.0,3.82
2025-08-28 18:46:12.860,5.32,-8.58,3.98
2025-08-28 18:46:12.871,5.74,-8.06,3.79
2025-08-28 18:46:12.892,5.61,-7.81,3.53
2025-08-28 18:46:12.911,5.37,-7.59,3.68
2025-08-28 18:46:12.932,5.06,-8.02,3.65
2025-08-28 18:46:12.958,4.38,-8.16,3.81
2025-08-28 18:46:12.971,4.0,-7.76,3.82
2025-08-28 18:46:12.992,3.74,-7.38,3.71
2025-08-28 18:46:13.012,3.77,-6.91,3.61
2025-08-28 18:46:13.032,3.72,-6.61,3.61
2025-08-28 18:46:13.059,3.38,-6.64,3.57
2025-08-28 18:46:13.073,3.32,-6.41,3.29
2025-08-28 18:46:13.092,3.24,-5.99,3.19
2025-08-28 18:46:13.114,3.01,-5.44,3.08
2025-08-28 18:46:13.141,2.79,-4.44,2.64
2025-08-28 18:46:13.154,2.55,-4.11,2.33
2025-08-28 18:46:13.172,2.4,-3.51,2.19
2025-08-28 18:46:13.193,2.22,-2.95,2.17
2025-08-28 18:46:13.211,2.03,-2.93,2.09
2025-08-28 18:46:13.232,1.84,-3.17,2.16
2025-08-28 18:46:13.256,1.76,-3.17,2.12
2025-08-28 18:46:13.273,1.81,-3.3,2.1
2025-08-28 18:46:13.292,1.99,-2.98,2.38
2025-08-28 18:46:13.311,2.72,-3.71,4.04
2025-08-28 18:46:13.331,2.74,-5.17,5.34
2025-08-28 18:46:13.355,2.91,-7.12,6.61
2025-08-28 18:46:13.372,3.99,-9.34,6.66
2025-08-28 18:46:13.392,4.96,-10.69,6.01
2025-08-28 18:46:13.412,4.88,-9.99,6.02
2025-08-28 18:46:13.436,5.01,-8.22,5.89
2025-08-28 18:46:13.455,4.95,-8.07,5.48
2025-08-28 18:46:13.471,4.46,-7.95,4.95
2025-08-28 18:46:13.493,4.17,-7.29,4.72
2025-08-28 18:46:13.512,3.82,-6.8,4.83
2025-08-28 18:46:13.532,3.57,-6.71,4.82
2025-08-28 18:46:13.555,3.38,-6.58,4.78
2025-08-28 18:46:13.573,3.37,-6.23,4.59
2025-08-28 18:46:13.595,3.54,-6.37,4.63
2025-08-28 18:46:13.614,3.58,-6.87,4.87
2025-08-28 18:46:13.638,3.53,-7.2,4.96
2025-08-28 18:46:13.653,3.71,-7.45,5.07
2025-08-28 18:46:13.671,3.96,-7.69,5.05
2025-08-28 18:46:13.693,4.45,-7.67,5.14
2025-08-28 18:46:13.713,4.35,-7.42,5.17
2025-08-28 18:46:13.738,4.13,-7.19,5.18
2025-08-28 18:46:13.756,3.95,-7.23,5.03
2025-08-28 18:46:13.772,3.6,-7.43,4.79
2025-08-28 18:46:13.792,3.5,-6.91,4.58
2025-08-28 18:46:13.815,3.34,-6.3,4.46
2025-08-28 18:46:13.836,3.21,-6.63,4.46
2025-08-28 18:46:13.853,3.15,-6.6,4.18
2025-08-28 18:46:13.873,3.45,-6.33,3.77
2025-08-28 18:46:13.895,3.45,-6.01,3.46
2025-08-28 18:46:13.914,3.34,-5.47,3.1
2025-08-28 18:46:13.932,3.48,-4.99,2.98
2025-08-28 18:46:13.952,3.27,-5.21,2.97
2025-08-28 18:46:13.975,1.99,-5.29,2.56
2025-08-28 18:46:13.992,1.84,-4.84,2.27
2025-08-28 18:46:14.012,2.39,-4.25,2.29
2025-08-28 18:46:14.037,2.81,-4.41,2.77
