time,X,Y,Z
2025-08-28 18:46:09.487,-0.07,-0.04,-0.02
2025-08-28 18:46:09.507,-0.09,-0.02,-0.06
2025-08-28 18:46:09.530,0.19,-0.02,-0.05
2025-08-28 18:46:09.547,0.37,0.03,-0.01
2025-08-28 18:46:09.568,0.27,0.02,0.04
2025-08-28 18:46:09.591,0.01,-0.06,0.07
2025-08-28 18:46:09.617,-0.05,-0.16,0.08
2025-08-28 18:46:09.632,-0.01,-0.2,0.06
2025-08-28 18:46:09.647,0.09,-0.22,0.04
2025-08-28 18:46:09.667,-0.01,-0.2,0.02
2025-08-28 18:46:09.688,-0.19,-0.15,0.05
2025-08-28 18:46:09.708,-0.35,-0.1,0.01
2025-08-28 18:46:09.735,-0.3,-0.03,-0.05
2025-08-28 18:46:09.750,0.04,-0.01,-0.1
2025-08-28 18:46:09.767,0.1,0.0,-0.08
2025-08-28 18:46:09.788,-0.02,0.08,-0.02
2025-08-28 18:46:09.817,-0.04,0.14,-0.0
2025-08-28 18:46:09.829,0.06,0.1,-0.06
2025-08-28 18:46:09.847,0.07,0.11,-0.07
2025-08-28 18:46:09.868,0.08,0.13,-0.04
2025-08-28 18:46:09.889,0.07,0.11,-0.04
2025-08-28 18:46:09.917,-0.01,0.07,-0.06
2025-08-28 18:46:09.927,-0.09,0.06,-0.09
2025-08-28 18:46:09.948,-0.14,0.06,-0.07
2025-08-28 18:46:09.969,-0.07,0.08,-0.03
2025-08-28 18:46:09.990,0.02,0.05,-0.03
2025-08-28 18:46:10.016,0.17,0.0,-0.04
2025-08-28 18:46:10.029,0.3,0.0,-0.03
2025-08-28 18:46:10.047,0.29,0.06,0.01
2025-08-28 18:46:10.070,0.25,0.06,0.06
2025-08-28 18:46:10.090,0.17,0.05,0.08
2025-08-28 18:46:10.114,0.15,0.02,0.07
2025-08-28 18:46:10.130,0.25,0.02,0.08
2025-08-28 18:46:10.149,0.36,0.04,0.1
2025-08-28 18:46:10.169,0.38,0.01,0.13
2025-08-28 18:46:10.189,0.32,-0.02,0.14
2025-08-28 18:46:10.219,0.29,-0.03,0.17
2025-08-28 18:46:10.230,0.36,-0.01,0.15
2025-08-28 18:46:10.249,0.42,-0.02,0.14
2025-08-28 18:46:10.269,0.42,0.0,0.16
2025-08-28 18:46:10.290,0.39,0.02,0.19
2025-08-28 18:46:10.314,0.37,0.02,0.2
2025-08-28 18:46:10.330,0.41,0.03,0.22
2025-08-28 18:46:10.349,0.41,0.08,0.22
2025-08-28 18:46:10.370,0.37,0.13,0.23
2025-08-28 18:46:10.392,0.29,0.17,0.22
2025-08-28 18:46:10.414,0.27,0.16,0.22
2025-08-28 18:46:10.431,0.32,0.11,0.19
2025-08-28 18:46:10.449,0.37,0.08,0.17
2025-08-28 18:46:10.469,0.41,0.05,0.17
2025-08-28 18:46:10.490,0.37,0.06,0.15
2025-08-28 18:46:10.514,0.37,0.07,0.16
2025-08-28 18:46:10.531,0.36,0.1,0.15
2025-08-28 18:46:10.553,0.41,0.18,0.15
2025-08-28 18:46:10.569,0.48,0.22,0.15
2025-08-28 18:46:10.590,0.6,0.27,0.15
2025-08-28 18:46:10.614,0.65,0.3,0.15
2025-08-28 18:46:10.630,0.65,0.33,0.16
2025-08-28 18:46:10.649,0.54,0.37,0.15
2025-08-28 18:46:10.671,0.37,0.4,0.14
2025-08-28 18:46:10.695,0.21,0.4,0.13
