2025-08-28 18:17:27.233 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: -0.10, Z: -0.06
2025-08-28 18:17:27.246 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: -0.06, Z: 0.04
2025-08-28 18:17:27.268 11161-11161 AccelData               com.example.geunhwang                D  X: 0.08, Y: -0.03, Z: 0.13
2025-08-28 18:17:27.289 11161-11161 AccelData               com.example.geunhwang                D  X: 0.05, Y: -0.04, Z: 0.04
2025-08-28 18:17:27.311 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: 0.01, Z: -0.01
2025-08-28 18:17:27.332 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: -0.01, Z: 0.06
2025-08-28 18:17:27.347 11161-11161 AccelData               com.example.geunhwang                D  X: 0.06, Y: 0.09, Z: 0.05
2025-08-28 18:17:27.366 11161-11161 AccelData               com.example.geunhwang                D  X: 0.07, Y: 0.08, Z: 0.08
2025-08-28 18:17:27.384 11161-11216 ProfileInstaller        com.example.geunhwang                D  Installing profile for com.example.geunhwang
2025-08-28 18:17:27.388 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: 0.11, Z: 0.04
2025-08-28 18:17:27.416 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.10, Z: 0.03
2025-08-28 18:17:27.427 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.16, Z: 0.01
2025-08-28 18:17:27.449 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: 0.17, Z: 0.02
2025-08-28 18:17:27.467 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.17, Z: 0.02
2025-08-28 18:17:27.487 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.13, Z: 0.05
2025-08-28 18:17:27.518 11161-11161 AccelData               com.example.geunhwang                D  X: 0.03, Y: 0.32, Z: 0.01
2025-08-28 18:17:27.527 11161-11161 AccelData               com.example.geunhwang                D  X: 0.08, Y: 0.19, Z: -0.05
2025-08-28 18:17:27.547 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: 0.06, Z: 0.01
2025-08-28 18:17:27.568 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.04, Z: 0.01
2025-08-28 18:17:27.588 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.08, Z: 0.02
2025-08-28 18:17:27.612 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: 0.11, Z: 0.02
2025-08-28 18:17:27.628 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.11, Z: -0.00
2025-08-28 18:17:27.648 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.00, Z: -0.05
2025-08-28 18:17:27.669 11161-11161 AccelData               com.example.geunhwang                D  X: -0.07, Y: 0.01, Z: 0.00
2025-08-28 18:17:27.699 11161-11161 AccelData               com.example.geunhwang                D  X: -0.03, Y: -0.01, Z: 0.04
2025-08-28 18:17:27.707 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: 0.06, Z: 0.02
2025-08-28 18:17:27.727 11161-11161 AccelData               com.example.geunhwang                D  X: -0.05, Y: 0.06, Z: 0.04
2025-08-28 18:17:27.749 11161-11161 AccelData               com.example.geunhwang                D  X: -0.07, Y: 0.04, Z: 0.19
2025-08-28 18:17:27.771 11161-11161 AccelData               com.example.geunhwang                D  X: 0.06, Y: -0.01, Z: 0.19
2025-08-28 18:17:27.796 11161-11161 AccelData               com.example.geunhwang                D  X: 0.04, Y: -0.24, Z: 0.12
2025-08-28 18:17:27.809 11161-11161 AccelData               com.example.geunhwang                D  X: 0.12, Y: -0.06, Z: 0.11
2025-08-28 18:17:27.827 11161-11161 AccelData               com.example.geunhwang                D  X: 0.13, Y: -0.11, Z: 0.02
2025-08-28 18:17:27.847 11161-11161 AccelData               com.example.geunhwang                D  X: 0.07, Y: 0.10, Z: -0.02
2025-08-28 18:17:27.868 11161-11161 AccelData               com.example.geunhwang                D  X: 0.07, Y: -0.01, Z: -0.10
2025-08-28 18:17:27.893 11161-11161 AccelData               com.example.geunhwang                D  X: 0.14, Y: -0.15, Z: -0.04
2025-08-28 18:17:27.910 11161-11161 AccelData               com.example.geunhwang                D  X: 0.08, Y: 0.00, Z: 0.07
2025-08-28 18:17:27.929 11161-11161 AccelData               com.example.geunhwang                D  X: -0.06, Y: 0.19, Z: 0.00
2025-08-28 18:17:27.947 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: 0.21, Z: 0.02
2025-08-28 18:17:27.968 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.24, Z: 0.09
2025-08-28 18:17:27.992 11161-11161 AccelData               com.example.geunhwang                D  X: -0.08, Y: 0.01, Z: 0.00
2025-08-28 18:17:28.013 11161-11161 AccelData               com.example.geunhwang                D  X: -0.09, Y: -0.09, Z: -0.09
2025-08-28 18:17:28.028 11161-11161 AccelData               com.example.geunhwang                D  X: -0.04, Y: -0.17, Z: -0.20
